ID_REF	GSM266726	GSM266728	GSM266729	GSM266723	GSM266724	GSM266725
2957_at	0.4	12.8	13.7	4.9	8.6	7.4
2958_at	19.5	15.6	11.3	14	3.7	6.2
2959_at	3.9	12.9	5.5	6.4	16.6	27.2
2960_at	0.5	5.3	9.3	5	11.7	6.1
2961_at	26.8	13.1	14.3	2	2.5	13.9
2962_at	46.9	42.4	51.1	11.4	24.8	22.5
2963_at	29.5	31.6	29	2.2	20.5	3.3
2964_at	506.6	860.3	1078.8	3086.2	2686.1	3950.6
2965_g_at	320.3	484.5	570	1239.3	926	1739
2966_s_at	465.7	795.2	879.4	2601.6	2373.6	2926.5
2967_s_at	945.2	1630.3	1917.1	4735.4	4953.6	5979.2
2968_s_at	321.3	467.4	492.1	1048.1	1157.2	960.2
2969_s_at	881.1	1116.6	974.1	2109.5	2316.3	1991.2
2970_s_at	1882.7	2147.4	2063.5	3184.3	3929.2	2968.3
2971_at	24	15.3	29.9	2.5	5.8	4.1
2972_at	14.2	24.3	22.3	8.7	5.2	7.1
2973_at	5.2	2	5.6	4.4	0.8	0.5
2974_at	13	11.2	13	3.2	2	1.8
2975_at	6.5	12.6	14.4	21.4	4.5	11.2
2976_at	9.4	24.6	11.1	6.3	11	0.6
2977_at	24.2	27.8	34.6	12.3	22.3	3
2978_at	18.9	15.2	24.7	18.5	14.2	4.5
2979_at	3.8	7.2	5.3	0.8	1.3	2.3
2980_at	14.5	0.6	4.8	1.5	0.2	5.7
2981_at	6.3	1	2.3	0.9	0.5	1.4
2982_at	10.1	7.8	7.1	3.2	5.2	10.5
2983_at	0.6	0.7	3.2	0.8	0.5	1
2984_at	1.8	1.4	0.8	9.4	4.3	34.6
2985_at	2.5	0.4	3.5	1	0.7	0.9
2986_at	8.5	0.5	2	1	7.8	17.1
2987_at	8.3	2.8	11.7	2.6	9.2	23.3
2988_at	1.2	6.6	1.8	0.8	1.1	2
2989_at	10.3	14.4	14.7	9.2	13.9	11.4
2990_g_at	61.2	64.9	50.2	49	43.7	41.3
2991_at	46.6	63.1	72.5	75.3	63.7	62.7
2992_g_at	25.1	34.8	31.7	30.1	34.9	21.4
2993_s_at	51.4	53.4	69.2	54.4	43.6	47.3
2994_s_at	20.8	22.4	27.2	15.6	22.7	16.5
2995_s_at	71.9	73.2	77	83.8	62.2	47.3
2996_s_at	151.4	142.7	173.3	139.4	146.7	135.1
2997_s_at	55.9	38.8	59.8	31	47.4	22.8
2998_at	23.7	24.4	33.6	21.5	23.2	17.9
2999_at	84.3	112.4	102.6	62.9	38.6	45.3
3000_at	47.5	52.9	64.2	30.6	20.7	26
3001_at	10.8	9.1	20.6	10.4	18.7	4.2
3002_g_at	2.1	17.1	8.9	16.8	8.9	7.5
3003_s_at	202.1	267.4	288.9	218.4	191.5	191
3004_s_at	130.5	154.5	146.5	111.3	142.3	115.1
3005_at	17.3	33.9	23	2.2	1.8	3.3
3006_at	8.3	3	6.9	9.2	7.2	3.2
3007_at	20.7	22.4	17.7	12.3	11.5	7.1
3008_at	2.2	7.5	6.2	13	11.5	18.4
3009_g_at	12.1	36.3	34.4	90.6	82.6	65.1
3010_s_at	0.6	4.3	9.2	18.1	5.5	17
3011_s_at	35	25.2	33.7	63.8	61.2	57.3
3012_s_at	61.8	99.2	80.4	178.2	180.7	176.6
3013_at	48.6	37.7	52	6.5	10	22.9
3014_at	18.5	20.5	24.7	3.2	15.4	13.6
3015_at	18.7	28.8	47.1	25.2	44.5	37.7
3016_at	18.4	13	7.1	12.9	14.5	9.6
3017_g_at	79.2	100.7	77.8	73.8	86.3	81
3018_s_at	56.8	41.8	41.5	23	44.5	34.1
3019_at	11.4	6.2	2	25.9	26.3	13.5
3020_at	2.2	0.4	0.3	7	3.7	2.5
3021_at	11.9	9.3	7.4	5.5	18	1.6
3022_at	1.4	0.6	1.7	3.7	1.1	2.8
3023_at	2.9	0.6	0.1	8.6	0.5	2.2
3024_g_at	49.9	39.4	35.9	26.3	30.6	15.6
3025_s_at	76.2	75.7	83	57.6	40.8	28.3
3026_at	6.3	8.4	8.7	0.7	0.9	0.4
3027_at	0.5	3.1	6	5.5	3.5	0.5
3028_at	0.4	0.3	0.7	0.8	0.3	8
3029_at	0.6	4.4	13.9	0.4	0.1	0.4
3030_at	3.8	6	4.8	0.9	2.8	1.5
