ID_REF	GSM677582	GSM677583	GSM677584	GSM677585	GSM677586	GSM677587	GSM677588	GSM677589	GSM677590
184639_s_at	246.728	528.368	337.382	443.267	381.928	466.535	342.966	416.457	480.248
184640_at	null	1.73206	12.9286	null	5.94874	null	2.39788	null	8.43913
184641_at	5.5741	4.60846	3.57012	null	6.07207	2.73527	9.72873	3.64186	10.3159
184642_at	null	null	null	4.48242	null	null	5.55301	1.14727	null
184643_at	null	null	null	4.09737	null	null	2.22043	2.60373	0.12843
184644_at	281.706	596.855	345.552	449.324	455.489	536.806	346.471	390.596	416.356
184645_at	null	null	null	null	null	null	null	null	null
184646_at	34.6612	41.1428	38.3482	58.3973	39.3913	59.2962	40.3707	49.2363	60.8528
184647_at	null	null	null	null	null	null	null	null	null
184648_at	833.943	1681.64	1019.16	1316.2	1249.58	1367.65	1092.74	1145.09	1416.3
184649_at	13.3033	11.4669	10.3549	15.6236	18.8361	10.8548	12.3982	19.4859	21.259
184650_at	23.3521	24.3819	19.1289	20.9193	9.9099	19.7307	13.2008	14.7778	15.5272
184651_at	null	null	null	null	null	null	null	null	null
184652_at	16.7599	7.07013	null	null	9.5668	0.5358	11.6043	10.3448	null
184653_at	363.982	843.604	489.242	635.154	671.891	782.537	498.882	588.488	718.89
184654_at	5.41721	7.67395	12.9121	null	5.43229	10.507	4.86497	1.43932	null
184655_at	1.25828	null	null	2.81363	null	null	null	null	null
184656_at	null	null	null	2.94717	null	null	null	null	null
184657_at	null	0.24271	null	1.33982	1.27552	null	null	11.7102	null
184658_at	1.73737	null	null	0.12104	0.09259	3.19616	null	null	null
184659_at	17.7265	1.11667	10.8438	11.2507	null	null	1.75348	15.1712	5.20447
184660_at	null	8.67228	5.48833	null	4.74719	6.2163	null	null	5.09051
184661_at	57.4703	92.8427	44.4084	61.6714	65.2705	73.22	62.2301	56.0569	68.3499
184662_at	25.4977	16.0917	19.4463	12.6931	25.057	26.0681	31.3958	23.5628	19.3291
184663_at	448.276	766.062	572.793	710.727	588.302	642.617	427.51	550.191	629.098
184664_at	60.3218	101.404	91.7818	95.6133	78.777	77.3158	61.4323	94.3579	113.407
184665_at	21.5296	12.8956	27.728	26.6355	21.4065	25.1126	3.36589	9.35013	16.4955
184666_at	433.954	1057.33	623.21	794.058	767.218	931.455	599.596	778.612	847.726
184667_at	398.342	1049.6	482.893	770.298	715.878	834.227	520.002	666.186	901.615
184668_s_at	null	null	null	null	null	null	null	null	null
184669_at	null	null	null	null	null	null	null	null	null
184670_at	null	null	null	null	null	null	null	null	1.87543
184671_at	34.1399	34.5726	17.5605	33.1856	33.0332	21.6227	32.866	45.612	33.8446
184672_at	24.7039	42.6212	33.7836	32.1738	59.7642	24.5431	38.9423	20.3299	48.7729
184673_at	4.34507	4.8998	4.03816	null	4.81443	null	0.95952	5.43671	0.12966
184674_at	13.135	14.6271	20.8784	23.931	23.039	14.1263	23.513	22.7131	24.1705
184675_at	45.6536	86.2958	63.7318	77.6417	79.7595	54.6105	59.888	70.8222	51.3582
184676_s_at	null	null	null	null	null	null	null	null	null
184677_at	5.57882	null	19.0833	2.56771	17.2103	null	8.2936	12.1702	5.58387
184678_at	3.9858	7.43543	9.25792	25.3217	12.0578	1.76012	null	3.26973	null
184679_at	19.6106	29.1859	26.0354	34.1817	18.4374	33.7076	22.6808	18.1662	14.5391
184680_at	25.8597	68.6774	28.8002	46.3412	42.5995	46.9355	29.255	41.6284	40.2147
