ID_REF	GSM1151351	GSM1151352	GSM1151353	GSM1151354	GSM1151355	GSM1151356	GSM1151357	GSM1151358
1415794_a_at	-0.0716581	0.0284214	0.167097	-0.100479	-0.044342	-0.0284214	0.28199	0.0757446
1415795_at	0.00215054	-0.151339	0.0584364	-0.262387	-0.0495987	-0.00215006	0.0382528	0.0230141
1415796_at	0.00870609	0.029685	-0.0932589	-0.00399113	0.00399113	0.0469122	-0.113546	-0.0268192
1415797_at	-0.0269327	0.0367918	0.00709534	-0.0640545	-0.00709534	0.0561419	-0.13275	0.167838
1415798_at	0.0448442	-0.00602531	0.00602484	-0.00804186	0.126104	-0.11061	-0.324312	0.282275
1415799_at	-0.07481	-0.0748987	-0.0168934	0.0382185	0.0168934	0.0930138	-0.35434	0.0795536
1415800_at	-0.00906372	0.084424	0.00906372	-0.37749	-0.0156736	-0.092495	0.371926	0.0233774
1415801_at	0.115009	-0.0178294	-0.183548	0.0267081	0.0178299	-0.063983	0.707837	-0.28868
1415802_at	0.0424299	-0.000172	0.12168	-0.170894	-0.0545025	-0.0317249	0.359956	0.000172
1415803_at	0.0163264	0.113917	1.2188	-0.0484824	-0.0163269	-0.158251	0.0290818	-0.19446
1415804_at	0.0804815	-0.00166941	0.167354	-0.036768	0.206234	-0.0219307	-0.148282	0.00166988
1415805_at	0.260208	-0.0614514	0.0348959	0.0681267	-0.0606031	-0.238417	0.0584826	-0.0348959
1415806_at	-0.180695	0.0652409	-0.0721989	-0.0399704	0.00264931	-0.00264931	0.087923	0.0130043
1415807_s_at	0.0495205	0.000803	-0.158963	0.048171	-0.0380878	0.162985	-0.351566	-0.000803
1415808_at	0.108854	-0.0295386	0.0377443	0.145791	-0.068475	-0.0456123	-0.037744	0.0295386
1415809_at	0.0804682	-0.0380676	0.0346961	-0.116246	0.211856	-0.020138	-0.278093	0.0201383
1415810_at	-0.0171776	-0.162273	-0.187221	-0.030139	0.0582581	0.354296	0.0171776	0.0584669
1415811_at	0.0159836	-0.0312047	-0.0304384	-0.145398	0.219243	0.47707	-0.0159836	0.206178
1415812_at	0.136152	-0.00294924	0.457985	0.154527	0.00294971	-0.490363	-0.159502	-0.280571
1415813_at	-0.0628405	-0.0373983	-0.0787334	0.0403719	0.0631533	0.16484	0.0373983	-0.0374441
1415814_at	-0.0538759	0.0547266	0.0988417	-0.041131	0.0266523	-0.00465202	-0.0123787	0.00465202
1415815_at	0.0435615	0.00262141	-0.00262141	0.140259	0.149343	-0.032198	-0.172216	-0.106778
1415816_at	0.0694752	-0.0128107	-0.00979614	-0.0430679	0.0604248	0.0507975	-0.113575	0.00979614
1415817_s_at	0.0359898	-0.00143528	-0.0991793	-0.155765	0.0695639	0.00143528	-0.0328932	0.00177288
1415818_at	0.0159407	-0.0763969	-0.167361	-0.0159407	0.104182	0.0309839	-0.456822	0.111681
1415819_a_at	-0.0896835	0.0302181	0.0161133	0.0694933	0.0372105	-0.0161133	-0.479261	-0.0404301
1415820_x_at	0.0478878	-0.0263929	-0.081275	-0.0809145	0.138516	0.224467	-0.0635805	0.0263929
1415821_at	-0.0119066	0.049201	0.138396	-0.231609	-0.0531292	0.0330133	-0.0832853	0.0119066
1415822_at	-0.104694	0.00163364	0.0440006	-0.169625	-0.0474186	0.0120792	-0.00163269	0.0613775
1415823_at	-0.000491	0.000491	0.0152388	-0.195184	0.0440397	-0.0646925	-0.310971	0.0463886
1415824_at	0.248716	-0.0288944	0.00221205	-0.148704	0.136494	-0.00221205	0.0343771	-0.0667257
1415825_s_at	-0.0211315	0.0211315	-0.0585155	-0.198991	0.158191	0.0227404	-0.109825	0.0434275
1415826_at	0.146069	0.115139	-0.000736	-0.137594	0.076746	0.000736	-0.354462	-0.0256538
1415827_a_at	-0.0759726	0.0150442	-0.149951	0.00732613	-0.0713711	-0.00732613	0.100967	0.0512428
1415828_a_at	0.00267219	-0.067646	-0.187992	-0.00267219	-0.0377884	0.0129824	0.0584669	0.0755663
1415829_at	-0.0276947	0.0276947	-0.0616865	-0.201347	-0.0289211	0.194218	0.202621	0.188712
1415830_at	0.110545	0.135365	-0.0650587	-0.00108385	0.00108385	0.00818586	-0.0168662	-0.00108385
1415831_at	0.00795746	-0.00795746	-0.0272064	-0.0586662	0.0593739	0.204861	-0.286089	0.0540009
1415832_at	0.0189147	0.181638	0.239489	0.112705	-0.186177	-0.0189145	-0.0266385	-0.0424659
1415833_x_at	0.0140991	0.0165863	-0.00954056	0.0143766	-0.0102911	0.00574207	-0.00574112	-0.0131502
1415834_at	-0.135973	-0.0846124	-0.160697	-0.341851	0.0846128	0.18599	0.847416	0.116548
1415835_at	0.0772984	0.103944	-0.0441506	0.412209	-0.0230176	-0.0283043	-0.0745976	0.0230176
1415836_at	0.0384631	-0.0123057	-0.111594	0.0539832	0.0123053	0.0848932	-0.777142	-0.051024
1415837_at	0.434981	0.13001	0.182196	0.396829	-0.4086	-0.401833	-0.13001	-0.442048
1415838_at	-0.0537634	0.00669861	-0.0502338	0.00206375	0.0201015	0.124393	-0.00206375	-0.0230942
1415839_a_at	-0.0628815	-0.0743771	-0.119372	-0.258033	0.0783997	0.190515	0.248174	0.0628815
1415840_at	-0.0478964	0.111989	0.0135889	-0.130648	0.0104847	-0.0671024	0.0964603	-0.0104847
1415841_at	-0.0950909	-0.00359631	-0.0703325	-0.0725746	0.0167999	0.094141	0.00359631	0.072773
1415842_at	-0.0250587	-0.206086	-0.000702	0.180273	0.0449905	0.000702	-0.21687	0.0713716
1415843_at	-0.0264163	-0.192924	0.108323	0.0264163	0.0958581	0.085043	-0.669067	-0.159109
1415844_at	-0.301065	0.0431232	0.274738	0.209005	-0.32627	0.00833368	-0.00833416	-0.0445471
