ID_REF	GSM153907	GSM153909	GSM153911	GSM153913	GSM153915	GSM153908	GSM153910	GSM153912	GSM153914	GSM153916
3029_at	3.4	2.7	1.4	0.3	1.2	2.4	0.2	1.1	2.4	1.5
3030_at	2.8	2.2	3.8	0.8	4.3	2.6	11.6	1.3	1.6	0.7
3031_at	5	10	8.3	1.2	6.5	6.3	8.7	3.8	2.8	8
3032_at	4.2	7.8	3.4	3.4	1.4	4.6	0.2	4.4	0.2	0.4
3033_s_at	24.3	19.6	12.3	5.4	10	12.1	13	11	8	9.7
3034_at	2	14.9	2.7	0.7	1.1	11.3	12	7.1	0.4	1.2
3035_at	10.3	8.9	6.9	2	6.9	10.1	15.5	6.4	2.1	3.4
3036_at	12.1	11.1	2.9	0.5	6.5	5.7	8	5.3	1.9	5.3
3037_at	2	5.3	0.4	1.9	2.2	1.6	6	1.3	0.7	0.5
3038_at	7.4	6.8	1.3	0.4	6.3	6.9	4.8	5	3.1	2.7
3039_s_at	79.6	130.5	50.8	59.8	69	86.1	113.8	78.6	66.4	64.3
3040_at	11.7	11.6	5.3	3.6	14.5	30.1	10.9	10.5	10.2	10.2
3041_at	20.2	13.3	3.6	7.1	10	18.6	21.7	15.7	9.7	11
3042_at	11.4	10.1	0.1	2.4	7.5	11	3.7	8.3	1.5	4.6
3043_at	3.3	6.5	1.5	0.3	0.5	0.4	4.2	0.6	0.3	4
3044_at	3.5	5.9	1.6	3.4	3.1	2.2	4.1	0.1	5.1	4.9
3045_s_at	45.8	56.8	36.8	30.9	21.2	49.2	64.8	37.2	34.6	32.9
3046_at	3.2	13.3	7.6	5.8	12.8	9.6	17.6	7.7	18.1	15.1
3047_at	4.6	3.6	2.2	3.4	5.6	1.4	3.5	3.6	4.5	4.9
3048_at	1.1	0.4	0.1	1.3	1	6.7	0.7	0.9	0.4	3
3049_at	3	1.4	0.2	0.7	0.1	0.3	4.6	0.4	0.2	0.2
3050_at	9.6	5.1	5	3.4	1.7	2.8	8.8	7	7.4	3
3051_at	10.3	10.7	9	3.2	4.9	9.1	9.8	10.4	8.8	6.6
3052_at	6.5	0.2	0.8	0.2	0.4	0.9	0.4	0.3	2.1	1.8
3053_at	3.9	10.4	1.9	1.1	1	1.7	6.3	0.9	2.8	2
3054_at	35.2	1.8	1.1	0.3	2.1	7.2	4.6	5.2	5.3	7
3055_g_at	1.2	0.7	10.2	1.2	4.2	0.8	0.9	3.6	3.3	0.7
3056_s_at	6.3	1.3	1.2	2.3	6.1	2.1	2.8	2.3	5.8	0.7
3057_s_at	32.8	20.8	20.7	4.9	9.4	31.7	35.2	17.9	18.6	17.9
3058_s_at	65.8	46.6	35.1	23.4	29	49.7	49.8	36	39.3	36.4
3059_at	1.3	2.6	3	1.1	1.5	3	6.8	0.2	5.9	1.6
3060_at	8.9	7.4	5.7	0.4	4.2	6.5	8.5	6.1	6.5	5.6
3061_at	0.1	0.1	0.1	0.2	0.3	0.2	0.2	0.1	0.1	0.2
3062_at	7.7	1.9	1.9	1.4	0.2	7.2	2.5	0.9	0.7	0.5
3063_at	0.9	3.5	1.2	0.3	6.8	4.4	0.6	0.2	0.1	0.4
3064_at	3.7	6.5	3	0.5	5.3	7.5	4.7	7.7	5.1	4.6
3065_g_at	8.9	7.9	11.9	2.9	11.8	5.6	22	14.2	14.6	10.5
3066_at	5.1	2.7	0.3	0.5	0.2	2.9	0.2	0.6	0.3	0.5
3067_g_at	4.5	1	0.1	0.4	4.1	3.1	6	4.3	0.5	0.5
3068_s_at	17.3	9.1	10.1	11.8	12.3	18	12.4	10.9	1.7	10.3
3069_s_at	3.5	2.4	2.5	2.1	1.3	2.9	8.3	1.8	0.6	1.8
3070_s_at	10.4	3.5	2.5	4.6	9.7	9.1	0.5	5.2	0.3	2.9
3071_s_at	5.8	16.7	2.3	2	9.6	13.9	11.7	5.2	5.3	5.4
3072_s_at	101.9	139.8	50.1	71.9	61.2	105.4	139.6	89	65	69.5
3073_s_at	7.3	22.8	2.5	0.4	5.1	6.8	9.7	5.4	3.9	3.5
3074_at	3.7	3.8	3.1	0.4	2.1	2.5	0.8	3.2	0.5	0.6
3075_at	5.9	7.2	0.2	1.4	6.6	9.7	2	2	0.1	0.3
3076_at	0.5	1.7	0.1	0.4	0.2	0.5	0.4	0.1	 	0.1
3077_at	4.2	0.6	0.1	0.3	3.3	7.7	2.9	0.2	3.3	0.1
3078_g_at	0.7	9.2	2	0.4	1.6	4.5	7.1	2.4	4.7	5.2
3079_s_at	55.5	92.5	60.4	62.9	84.1	93.7	70.4	67.3	80.4	72.2
3080_f_at	191.9	234.5	150.5	177.4	196.6	221.5	179.5	216.2	168.9	191.1
3081_at	22.5	20.1	9	18.2	21.9	20	15.4	25.7	19.9	19
3082_at	1.9	3.2	0.2	1.5	1.2	3.3	4.2	2.3	5.4	1.7
3083_g_at	3.9	0.3	0.1	6.3	0.6	3	0.3	3.5	3.6	3
3084_s_at	1.4	0.4	2.7	4.8	0.4	0.4	2.3	3.4	2.1	0.4
3085_s_at	19.4	13.8	13	14.1	10.5	12.2	14.8	9.4	13.4	9.6
3086_s_at	3.4	3.9	3.4	7.9	4.5	6.5	2.2	4.7	5.6	3.5
3087_s_at	0.7	3.8	0.1	11.8	5.1	7.9	2	1.2	3.3	4.3
3088_at	5.8	3.9	6	4.4	4.7	6.7	9.2	5.2	3.1	3.8
3089_g_at	2.5	3.4	3.4	1	0.8	8.3	5	1.9	4.5	3.5
3090_s_at	14.4	16.6	27.4	3.7	9.4	24.6	28.1	12.6	21.5	8.6
3091_at	1.7	4.7	6.6	1.7	2.6	1.4	4.9	1	6.3	1.4
3092_f_at	12.9	0.9	7.9	0.3	0.2	4.5	17.4	10.3	4.5	0.7
3093_f_at	50.1	31.9	37.2	10.8	14.4	21.8	42.8	33.6	19.6	15.5
3096_f_at	24.1	34.7	17.3	15.2	24.8	11.3	38	13.8	126.8	115.3
3097_at	9.2	6.2	3.5	0.7	5	13.4	7.5	4.6	5.2	3.4
3098_at	20.1	12.9	15.5	9.1	4.4	6.5	20.7	12.1	12.8	10.7
3099_at	8.4	6.4	7.5	2.4	7.6	17.4	10.3	9.5	7.9	4
3100_s_at	24.8	19.1	11.1	13.6	12.3	20.1	16.8	11.6	12.5	8.7
3101_at	15.6	23.2	16.6	6.6	17.6	8	11.1	9.1	12	13.3
3102_s_at	11	8.8	5.8	1.8	3.8	12.7	7	5.2	2.6	4.4
3103_at	4.1	4.2	2.9	0.4	4.6	5.8	2.3	2.9	3.7	4.6
3104_at	17.4	11.2	11.1	1.8	5	7.7	16.4	4.4	1.2	6.1
3105_g_at	1.2	5.1	4.4	0.5	8.6	3.7	1.9	1.7	0.9	0.9
3106_s_at	10.4	13.3	0.4	6.2	6.4	11.2	13.7	4	0.7	4.1
3107_s_at	1.5	12.8	3.1	1.1	9.1	6.9	7.9	9.9	0.2	1.7
3108_at	18.3	23.4	8.8	3.7	10.8	16.1	24.9	12.1	3.3	6.6
3109_at	17.8	13.3	3.1	8.1	17.1	14.3	16.3	12.5	2.2	6.3
3110_s_at	4.9	6.9	0.1	1.3	5	8.2	8.1	0.3	1	3.7
3111_s_at	3	3.1	4.8	0.7	5.3	2.6	6.9	2.9	0.7	0.8
3112_s_at	2.1	1.6	 	4.3	1.2	5.2	0.2	1.1	0.8	1.7
3113_s_at	51.2	65.1	19.9	45.5	34	30.1	69.7	22.6	15.9	22.1
3114_s_at	125.3	114	52.4	82.4	87.1	68	98.6	58.1	65.3	68
3115_at	3.4	10	0.8	0.7	6	7.7	4.7	2.3	6.7	1.1
3116_at	14.1	21	8.4	18	15	25.7	18.7	10.8	15.1	11.1
3117_at	13.4	23.4	13.1	21	20.3	31.7	13.8	7	11.3	8.9
3118_at	11.1	7.4	4.7	9.2	9.9	12.5	6.4	2.4	6.4	4.6
3119_at	0.1	4.8	0.7	11.1	1.7	6	1.3	0.3	2.2	1.5
3120_at	9.8	12.3	2.5	13.2	11.1	10.2	4.2	4.4	14.4	9.9
3121_at	13.2	16.6	7.1	12.4	16.8	15.4	11.7	10.3	12.9	10.7
3122_at	17.9	9.5	9.2	17.4	9.8	14	11	10.2	17.9	12
3123_at	1.8	5.1	3.6	11.7	6.6	10.1	5.3	0.7	1	4.3
3124_at	1.9	4.2	2.4	4.7	5.6	11.5	3.1	6.1	12.9	6.5
3125_at	4.1	2.5	4.8	8.2	1.3	7.8	4	4.8	7.5	2.7
3126_at	6.9	7.3	5.7	16	5.6	10.6	7	4.8	6.2	0.5
3127_at	1	4.1	1.8	0.7	0.5	2.4	7	1.2	0.3	0.5
3128_at	27.1	16.2	8.8	8.3	13.6	22.8	8.5	11.5	13.4	7.3
3129_at	10.3	9.1	2.8	0.6	5.4	9.4	11	3.1	9.5	5
3130_at	9.5	6.4	4	3.4	4.5	4	7.7	5.9	2.7	5.4
3131_g_at	10.1	11.4	9.5	10.4	7	7.7	10.6	5.9	17.9	8.5
3133_f_at	49.1	27.5	35.9	32.4	34.3	33.8	39.4	25.7	53.6	45
3136_s_at	27.8	36.2	30.6	16.6	31.5	38.5	56.2	33.1	57.3	53.5
3137_s_at	29.6	24.1	33.8	32.4	32.1	43.6	28.8	38.6	61.4	61.7
3139_f_at	8.4	14.4	12.1	13.7	10.5	10.7	15.5	19	23.3	19.6
3141_i_at	2.1	0.7	1.3	2.2	0.2	0.3	1.4	2.6	3.8	0.6
3142_f_at	123.6	99.1	88.9	103.1	113.3	125.6	106	93.9	138.7	151.5
3143_f_at	9.8	14.7	6.5	8.4	8.8	10	10.8	9.3	13.8	10.4
3144_f_at	49.8	42.9	41.2	49.4	58.6	44.8	39.3	41.6	59.7	81.1
3145_at	10	13.9	13.1	5.8	8.9	10.7	9.9	14.8	12	11.7
3147_at	1.9	1.7	0.3	0.3	0.5	3.2	2.5	0.3	0.4	0.4
3148_s_at	107	125.2	122.7	110	113	111.4	108.8	114.1	127.5	133.4
3149_at	15.7	15.9	8.9	12.2	12.6	15.5	17.5	8.9	12.9	10.6
3150_at	45.7	30.4	29.1	21.5	25.7	30.1	28	27.5	29.9	18.3
3151_g_at	19	14.5	11.8	13.3	7.7	13.3	12.2	8.8	15.7	8.5
3152_at	50.4	46.3	33	26.2	37.1	31.2	51.8	30	19.3	26.4
3153_at	9.3	19.2	7.1	12.9	8.3	6.6	16.9	5.5	10.1	4
3154_at	15.9	12.6	11	13.6	7.2	10.8	18.5	7.7	13.3	5.6
3155_at	1.8	7.1	5	5.2	2.7	1.4	4.2	2.4	3.3	1.8
3156_at	6.2	1.3	2.4	3.2	0.3	5.1	2.7	3.9	0.3	4
3157_at	19	8.8	9.2	6.5	11.3	12.2	18.3	11.8	1.9	4.2
3158_at	5.6	5	2.5	5	2.8	5.7	3.5	1.1	0.3	0.5
3159_at	6.1	0.6	0.7	0.4	0.8	2.4	3.9	0.8	5.6	2
3161_f_at	122.7	121.5	111.8	135.1	125	119	116.1	101.2	122.9	126.8
3162_at	14.7	17.8	14.7	17	16.5	15.2	25.9	12.3	15.7	18.1
3163_i_at	1.4	6	2.6	3.4	4.4	5.7	5.4	2.4	2.4	0.3
3164_f_at	0.3	0.3	0.1	4.8	1.5	2.5	1.2	4.9	1.3	0.6
3165_at	3	0.3	0.3	2	1.4	1	2.2	0.5	0.2	2.3
3166_i_at	12.5	9.2	9.7	6.7	7.8	9.6	9.4	10.9	7.3	8
3167_r_at	10	7.4	8	13.7	10.2	7.8	8.7	6.5	6.5	0.8
3168_f_at	4.1	5.5	3.5	1.1	0.7	4.1	2.5	2.5	0.7	0.4
3169_f_at	855.9	1204.4	1091.4	1102.9	1237.3	1053.6	1109.5	1166	1406.3	1485.9
3170_i_at	1.3	1.3	 	4	2.1	 	0.8	2.5	4.3	1.2
3171_r_at	0.9	 	 	3.5	0.2	3.1	 	1.2	2.5	2
3172_f_at	5.2	5.3	3.6	4.1	5.4	9.3	9.2	3.3	5.5	6.4
3173_i_at	3	0.2	 	3.2	2.2	1.5	1.4	1.2	 	 
3174_f_at	0.3	2.4	1.6	5.2	1.3	5.3	0.7	2	2.5	2.5
3175_i_at	2.8	9.5	8.7	10	15.6	7.8	15.7	10.4	4.1	7
3176_f_at	8.2	5.4	6.1	11.7	16.2	11.1	16	8.6	11.9	9.1
3177_f_at	3.5	7.1	7	3.6	7.4	5.8	9.2	4.9	9	8.7
3178_f_at	0.9	3.1	2.8	1.7	3.9	0.2	3.9	0.6	2.7	2
3180_f_at	819.3	1323.5	942.6	1091.2	1317.7	941.9	1363.5	975.3	1882.9	2249.7
3181_f_at	795.2	922.8	959.9	1106.4	1135.5	847.6	872.6	855.9	1348.7	1375.8
3182_i_at	12.1	1.1	2.9	1.2	2.3	1.7	1.2	1.1	10.4	1.1
3183_f_at	1292.8	1001.2	1406.5	1401.9	1277.4	1132.2	1162.6	1033.1	1658.6	1583
