ID_REF	GSM488119	GSM488121	GSM488123	GSM488125	GSM488127	GSM488129	GSM488111	GSM488113	GSM488115	GSM488117	GSM488131	GSM488120	GSM488122	GSM488124	GSM488126	GSM488128	GSM488130	GSM488112	GSM488114	GSM488116	GSM488118	GSM488132
211389_x_at	8.02675	14.4215	24.5138	66.9461	9.84952	67.9977	105.004	6.17018	115.186	5.12339	14.2422	90.213	22.4675	8.88843	172.938	25.6202	6.16055	25.5049	81.4858	7.18583	3.20286	6.26344
211390_at	6.67442	24.2769	3.44255	5.78519	32.1067	21.2367	9.87157	4.01354	58.902	2.41039	4.75591	30.4668	4.77664	11.426	9.54012	7.40821	2.54397	4.76999	13.256	2.95994	2.97798	3.11227
211391_s_at	67.0619	17.658	74.2027	78.8967	43.8429	58.2621	82.1077	18.1072	8.24874	6.78873	12.4379	39.4913	39.3516	115.792	71.5455	103.092	8.16442	63.0026	138.95	19.2064	66.8302	55.6038
211392_s_at	53.4959	143.157	28.5145	20.9254	283.784	119.463	16.6592	77.4107	88.0556	13.1451	22.866	118.104	49.972	61.326	7.00844	311.718	13.8002	33.4563	17.9726	74.6824	5.70737	8.87454
211393_at	39.9309	273.722	13.2481	9.57666	18.7427	17.7865	6.29029	6.77984	16.223	2.91578	4.57811	195.51	7.67054	121.886	59.8938	87.1181	3.63313	36.0681	7.74594	4.5199	7.53294	5.29119
211395_x_at	15.6631	113.749	66.3027	8.08571	77.6039	27.4283	21.5216	62.1694	8.36741	11.0312	57.983	111.921	5.86701	19.1437	22.6077	197.566	17.1595	56.1672	90.9351	6.04275	39.388	20.7268
211396_at	9.07062	39.6702	65.2183	105.384	329.182	114.496	5.34537	17.6571	79.212	12.5005	95.5986	33.3857	32.1937	93.5511	247.971	125.849	80.0316	5.56477	118.792	83.5066	88.165	12.0977
211397_x_at	13.4234	26.5751	10.3815	15.2676	140.492	14.2626	17.6703	10.8968	27.9945	3.64862	7.81746	27.9511	14.2886	13.2727	31.727	17.0155	4.82933	13.1134	103.822	11.1162	6.35714	11.1557
211398_at	99.076	30.9687	34.2242	25.7388	131.687	561.043	140.631	170.904	73.3751	16.3295	56.4173	35.5843	67.077	44.8403	115.47	13.287	53.8194	107.713	45.3816	20.6375	52.8729	32.3949
211399_at	100.871	16.9065	124.814	86.8031	50.0254	51.1138	7.8148	29.2427	152.363	158.247	76.7613	32.7108	87.1733	18.0205	129.392	128.527	7.16063	8.92122	17.5	114.87	47.3345	11.3498
211400_at	30.8569	20.3791	11.0328	19.3451	17.6576	11.9762	20.3592	16.0811	19.3654	3.97205	4.36368	54.5711	6.11941	10.7516	99.8683	22.8936	3.40572	18.7324	17.4607	43.1665	3.22425	3.93805
211401_s_at	90.2589	16.0484	49.3784	25.1955	29.0071	26.6445	30.2062	9.91093	8.22687	32.936	5.12698	11.5355	15.5581	44.7824	21.1262	91.2748	48.3476	6.11897	14.3459	24.7925	57.396	32.2109
211402_x_at	63.2285	57.2842	28.1424	133.761	315.519	54.4761	7.60655	23.9911	59.1693	8.99035	22.6537	449.508	19.5006	269.863	271.748	10.1559	49.4803	20.1314	26.3696	24.4259	15.3979	16.9392
211403_x_at	118.451	132.749	27.4869	40.8211	110.405	115.283	43.3017	61.4759	23.4385	76.663	55.2666	18.6334	8.32358	166.243	9.33645	175.144	5.10159	82.217	103.899	22.8713	44.4119	22.0179
211404_s_at	268.217	215.426	282.564	149.204	34.4096	574.997	172.112	230.101	155.737	73.8161	140.264	274.939	118.155	294.017	301.181	131.058	139.383	194.214	288.005	123.373	174.859	235.631
211405_x_at	114.429	429.064	75.3226	107.308	230.738	401.179	42.0648	37.6766	175.04	54.7506	89.9341	574.513	66.4034	80.9221	55.6114	207.783	106.495	75.4403	23.2289	118.517	47.419	77.3684
211406_at	153.197	305.723	70.9701	161.528	230.098	168.471	69.8395	206.69	117.214	65.9632	66.1959	388.632	110.602	19.6326	132.639	39.3593	60.7842	96.139	149.884	107.317	83.3655	71.1847
211407_at	123.907	327.979	92.2302	147.687	203.957	264.654	8.67003	141.536	97.7397	73.4062	86.0422	158.647	70.3657	274.468	32.8006	200.801	96.0244	3.97011	100.362	56.4267	51.494	44.315
211410_x_at	45.385	37.8551	109.791	30.6304	400.673	62.2205	26.9095	104.875	193.999	55.1173	109.025	74.4848	74.3363	12.9454	115.983	12.1476	26.4164	22.5551	31.5023	71.4617	9.35678	30.4939
211411_at	18.1637	35.479	4.48568	55.0795	59.528	321.361	70.2921	14.0649	58.2774	15.199	4.79468	439.93	10.4814	47.3068	79.57	25.5513	15.9904	25.2092	117.744	42.1721	39.3319	25.0297
211412_at	93.1769	65.3852	11.8745	18.2325	21.0239	19.7657	8.44065	21.3601	18.1253	5.61305	25.277	33.1502	10.1938	48.7196	13.8194	8.03089	14.666	2.73004	9.87749	16.4257	6.40676	13.1108
211413_s_at	101.625	301.511	37.5671	78.8128	157.949	249.812	13.8451	37.2008	92.6154	54.9456	31.6819	101.244	29.3103	13.7911	32.4011	43.7273	62.8712	12.7801	13.2204	46.8021	6.30638	24.1055
211414_at	34.8723	123.05	33.6653	86.2313	34.3145	7.33443	30.5071	11.2511	89.833	18.3455	14.7876	128.377	56.2165	109.969	21.1516	90.3402	20.2487	2.97128	39.8939	32.9248	13.8478	22.6273
211416_x_at	197.715	729.203	90.5818	159.869	131.367	174.082	166.502	329.034	9.72155	203.181	98.3599	331.423	71.3475	266.28	264.966	172.111	156.343	124.755	316.266	81.5622	84.1588	67.6565
211417_x_at	149.167	93.6219	98.9231	40.0695	237.59	141.728	125.272	204.516	16.3726	126.332	44.8076	178.995	109.545	163.245	161.34	190.407	56.5724	184.399	398.438	117.835	121.812	78.6754
211419_s_at	4.74254	103.208	119.592	19.041	62.2429	30.3842	48.0988	5.31147	73.5159	10.3453	18.4296	8.42663	37.1989	128.159	18.9206	14.7243	12.0785	72.1021	56.2607	53.0708	12.3112	62.6547
211421_s_at	113.657	37.9793	90.1067	90.0098	41.3842	159.708	135.343	12.2004	161.486	116.879	184.927	310.019	183.536	183.852	47.5811	54.2463	153.222	102.685	4.49951	107.932	21.1078	201.344
211422_at	90.4928	340.308	41.9051	53.4896	160.245	237.648	61.1707	43.2872	12.8103	171.403	82.7253	126.2	70.6392	99.9476	143.326	25.6496	10.3964	34.4769	19.3831	12.6868	135.855	39.8834
211423_s_at	927.969	724.016	1256.26	1189.67	1235.86	631.907	2171.5	554.705	1341.44	469.383	903.319	765.451	1000.01	1268.07	2035.59	520.5	1317.28	2010.99	844.511	934.936	848.801	1542.36
