ID_REF	GSM153627	GSM153628	GSM153631	GSM153632	GSM153633	GSM153634	GSM153629	GSM153630
9202_at	5.520422249	5.419538892	5.498250868	6.680886921	6.407692649	6.840463234	5.074676686	6.806066226
9203_at	8.869439619	4.498250868	8.326429487	7.773468928	9.248164779	6.729280846	8.555356039	8.681238412
9204_at	8.867896464	6.185866545	8.299665944	8.399598369	8.34739991	9.1017131	8.692789835	9.040837649
9205_at	6.666756592	7.6387979	7.200653436	8.033423002	7.796364138	6.837943242	6.857980995	8.521207816
9206_at	3.906890596	0.847996907	3.700439718	4.209453366	4.277984747	1.678071905	3.817623258	4.137503524
9207_at	8.914983017	8.336283388	8.661778098	9.682467957	8.649256178	10.27041214	8.892998093	9.559377091
9208_at	10.88988417	10.85081192	11.47203076	11.77235582	11.93033078	11.91333824	10.36948829	11.9479291
9209_at	12.6580106	10.43899972	10.33058081	10.83162394	10.49235395	10.357552	12.51916937	11.45815025
9210_at	7.161887682	5.491853096	6.520422249	6.217230716	6.139551352	6.061776198	6.475733431	5.995484519
9211_at	7.735386783	6.006746832	6.756222713	6.412781525	7.057450272	6.658211483	7.613973587	7.01234519
9212_at	3.121015401	1.678071905	-0.321928095	1	1.137503524	3.972692654	1.485426827	0.584962501
9213_at	-1.321928095	0	3.560714954	2.765534746	1.321928095	-0.736965594	-0.736965594	2.981852653
9214_at	-0.152003093	1.963474124	-0.321928095	0.263034406	1	2.847996907	4.161887682	2.906890596
9215_at	5.209453366	4.385431037	3.510961919	6.592457037	4.385431037	6.74281467	4.145677455	6.381975479
9216_at	3.185866545	4	2.137503524	3.87774425	2.981852653	-0.514573173	1.485426827	3.510961919
9217_at	3.560714954	3.99095486	2.765534746	3.364572432	1.485426827	5.083213368	2.847996907	4.364572432
9218_at	5.623515741	4.053111336	2.744161096	5.197708158	4.986410935	5.371558863	4.749534268	5.185866545
9219_i_at	5.03562391	10.10734787	9.955068644	10.60622012	10.19869059	9.832731815	6.385431037	10.01597251
9220_r_at	5.815063017	10.0744091	10.16854677	10.55880334	10.10708627	10.19303247	7.501439145	10.14312807
9221_f_at	-0.736965594	7.314696526	7.090641752	7.303780748	6.87897051	6.108524457	5.50779464	6.447909749
9222_at	5.368069877	4.44625623	5.491853096	5.867896464	6.108524457	6.99095486	5.121015401	5.786596362
9223_at	2.137503524	4.153805336	5.040015679	4.201633861	3.655351829	3.560714954	2.786596362	4.432959407
9224_at	7.22881869	9.179162675	8.714932352	10.0409746	9.608069968	9.092228584	6.831623937	9.826707366
9225_at	5.343407822	5.137503524	4.95419631	4.185866545	5.560714954	0.485426827	4.930737338	4.906890596
9226_at	5.64385619	5.070389328	5.100136671	5.419538892	5.638073837	4.10433666	5.346956889	6.543805176
9227_i_at	11.69074009	9.891783703	10.51934139	10.70753169	10.80283944	10.20981887	11.47238623	11.95510498
9228_r_at	8.05853297	7.263034406	7.410239331	7.593204354	7.855491443	7.313790025	7.691394579	8.494255587
9229_i_at	4.862947248	-0.514573173	3.827819025	3.307428525	4.329123596	4.572889668	3.897240426	-0.514573173
9230_r_at	4.54225805	-0.321928095	1.263034406	2.5360529	-1	-0.152003093	3.944858446	1.584962501
9231_s_at	5.057450272	-0.514573173	1.070389328	0.137503524	-0.152003093	3.711494907	4.882643049	1.584962501
9232_at	2.292781749	-0.152003093	0	-0.321928095	2.03562391	-0.514573173	1	0.584962501
9233_at	6.781359714	7.30560579	8.882643049	8.071462363	8.775116404	7.560714954	6.74281467	7.884475819
9234_at	4.995484519	5.177917792	5.968090752	6.680886921	5.830356747	6.811214118	5.54225805	6.141596278
9235_at	7.070389328	7.482202926	8.057450272	8.640244936	7.827183896	9.167418146	5.5360529	7.483009577
9236_at	8.363696745	7.614709844	7.183883459	8.725877459	7.152791852	8.526303606	7.831623937	8.419117482
9237_at	7.188836073	7.85237345	8.477758266	8.250298418	9.193771743	6.852997588	7.147713722	8.773468928
9238_at	5.240314329	5.99095486	5.862947248	5.87774425	6.171927354	4.911691582	4.786596362	6.163901214
9239_at	2.678071905	4.852997588	4.862947248	5.378511623	6.224966365	4.867896464	1.887525271	4.776103988
9240_at	2.485426827	4.350497247	0.137503524	3.087462841	3.169925001	4.314696526	2.321928095	1.807354922
9241_at	6.525129251	7.224966365	6.264911693	7.635173947	6.242221395	7.197708158	5.993221467	7.849874194
