ID_REF	GSM211831	GSM211832	GSM211833	GSM211834	GSM211835	GSM211836	GSM211837	GSM211838	GSM211839	GSM211840	GSM211841	GSM211842	GSM211843	GSM211844	GSM211845	GSM211846	GSM211847	GSM211848	GSM211849	GSM211850	GSM211851
10769_at	4.69404	4.77436	4.5025	6.99402	6.90244	7.22604	6.62314	6.66334	6.50349	7.17591	7.05683	6.6346	6.93301	7.05474	7.09774	6.34413	6.56995	6.64446	6.086	6.55176	6.21482
10770_at	8.99717	9.32155	9.64281	10.0405	9.50837	9.50237	9.37261	9.43756	9.81098	10.1378	9.94	10.4211	9.80443	9.70218	9.63706	9.33046	9.50192	10.1637	9.04469	9.6085	9.43281
10771_at	8.48719	8.73137	9.50665	8.08666	7.72826	7.5836	7.69722	7.69046	7.98937	7.28248	7.48151	7.60518	7.54816	7.4547	7.38744	7.75029	7.43867	7.3412	6.98291	7.825	7.56925
10772_at	7.65058	7.67523	7.83707	8.36922	8.26414	8.21011	8.23244	8.04479	8.16438	8.24098	8.30769	7.89508	8.4075	8.00012	8.13558	8.34387	8.17621	7.99391	7.6391	7.7904	7.7826
10773_at	8.31403	8.30414	7.6285	8.78566	8.64183	8.47398	7.90123	8.03488	8.88943	8.43909	8.67145	8.51877	8.44284	8.13119	8.49593	8.67637	8.19854	8.67544	8.14089	8.06479	8.27814
10774_at	5.23627	5.34089	5.32464	5.12275	5.29015	5.31287	4.85301	4.92952	5.342	5.70965	5.59128	5.60985	5.40856	5.56761	5.73236	5.58172	5.30343	5.61937	5.27644	5.58819	5.46371
10775_at	3.35745	3.2582	3.71287	4.27246	4.44812	4.46669	4.18624	4.24488	4.6333	4.7674	4.7521	4.51686	4.67872	4.71135	4.95856	4.77157	4.78651	4.8678	4.96386	5.08618	4.5756
10776_at	4.01533	3.77646	4.27763	4.07343	4.12052	4.21808	3.94006	3.96273	4.59369	4.14042	4.18192	3.69851	4.1531	4.04846	3.94452	4.49827	4.122	4.76733	4.66019	5.04026	4.98337
10777_at	7.94204	8.18661	8.07003	8.28192	7.95916	7.65189	7.07863	7.06827	8.14062	7.32874	7.10168	7.03001	6.50803	6.77957	6.82857	7.22261	6.92787	7.12829	7.79721	7.36793	7.73233
10778_at	6.4193	6.73511	6.62385	7.49479	8.76609	8.52996	8.47543	8.61354	8.53793	8.59976	8.804	8.56818	8.35375	8.21277	8.46256	7.8751	7.99757	7.97486	8.25052	8.18157	8.36263
10779_at	6.15226	6.44829	7.15753	5.78361	5.44852	5.55774	5.49808	5.19178	5.37567	5.35769	5.16574	5.26987	4.84396	5.25661	5.04958	4.76466	5.20342	5.33332	4.47656	4.8492	4.90912
10780_at	7.3149	7.41601	7.88203	7.82766	7.52871	7.61196	7.43802	7.34049	8.02614	6.92938	6.86598	7.10551	6.08349	6.61321	6.68901	6.2309	6.14159	6.36538	5.36149	5.77165	5.98181
10781_at	8.7973	8.76104	9.38461	9.25603	9.34283	9.51588	9.56803	9.78325	10.0048	10.4066	10.4847	10.5226	9.87524	10.0174	10.4805	10.6384	10.6878	11.086	10.6909	10.5878	11.1633
10782_at	10.4233	10.5338	10.2588	7.50808	7.69955	7.67066	8.15127	8.22076	8.94763	7.86866	7.49851	7.82751	6.32137	6.7168	7.51501	7.24916	8.06882	8.48551	11.6081	11.7749	11.8298
10783_at	3.63511	3.33004	4.13322	3.34837	3.54614	3.31418	3.62897	3.36433	3.85051	3.11359	3.09273	3.1922	2.88514	3.05436	3.03282	2.88829	3.1161	2.89889	3.96955	4.36616	4.75787
10784_at	6.77831	7.20808	6.85004	4.86687	5.9626	5.85482	5.84233	5.92793	6.28551	5.5459	5.56733	5.24022	4.70831	4.52617	5.47011	5.45068	5.538	5.7463	8.71343	8.93571	9.20696
