ID_REF	GSM6711	GSM6712	GSM6713	GSM6715	GSM6717	GSM6726	GSM6728	GSM6729	GSM6730	GSM6731	GSM6732
7938_at	701.2	649.7	664.3	781.6	694.7	606.2	767.6	751.1	537.2	641.2	768.2
7939_at	347.4	304.1	376.2	435.7	320.7	345.9	282	337.7	390	453.9	429.2
7940_at	126.1	172.3	141.5	125	136.1	146.8	172.6	141.3	179.8	232.1	188
7941_at	24.7	22.6	37.4	18.9	27.2	25.4	29.6	26.6	38	27.1	23.7
7942_at	344	321.5	328.1	267.7	276.3	255.4	284.5	292	296	245.2	223.1
7943_at	165.6	219.3	134	142.4	119	189	183.1	149.4	174.2	166.5	164.8
7944_at	49.9	40.4	66.4	47.2	56.7	54.9	48.6	47.1	82.3	98.4	104.8
7945_at	233.3	212.5	274.9	256	223.7	247.4	398.3	333.8	334.5	306	383.2
7946_at	606	592.8	651.5	816.8	650.6	712.1	843.1	906.1	1002.7	647.4	785.6
7947_at	555.5	678.5	546.6	433.8	610.3	541.2	947.1	730.6	523.9	584.1	417.8
7948_at	336.3	355.1	352.7	246.8	334	388.6	321.7	320.4	286.1	289.2	231.3
7949_at	39.1	45.5	61.1	45.1	46.5	48.5	29.4	51.2	31.2	51.9	48.3
7950_at	203.4	153.4	174.7	174.8	123.5	171.9	145.1	176.2	143.2	153.8	143.7
7951_at	590.3	676	733.6	483.6	549	497.1	797.6	717.7	594.5	553.8	450.1
7952_at	1313.2	1746.5	1358.5	1611.8	1704.6	1337	1104.4	1116	1560.2	1489	2072
7953_at	54.7	54.8	64.6	63.2	60.4	49.1	44.6	47	59.6	61.8	71.1
7954_at	377	458.1	542.6	268.2	403.2	532.6	439.6	470.4	438.9	404.7	363.9
7955_at	483.3	365.9	350.2	457	316.3	336.5	335.5	253.8	561.2	447.1	567.5
7956_at	95.2	95.6	99.2	82.8	84.5	90.2	76.7	100.8	82.4	117.2	108.1
7957_at	18.4	12.4	18.5	8.7	7.7	14.8	16.2	20.1	5.7	4.9	18.7
7958_at	0.7	0.5	6.1	1	0.6	1.2	0.6	1.2	1.6	0.9	1.2
7959_at	929.2	762.9	1020.1	834.5	942.7	810.9	810.2	1036.8	872.1	741.4	626
7960_i_at	2107.2	1706.2	1881.4	586.7	481.8	961.9	1273.3	293.6	408.2	644.8	698.8
7961_f_at	921.3	522.4	937.6	354.5	308	376.4	929.2	664.9	531.7	936.4	749.6
7962_s_at	9107.9	6769.7	9662.2	8064.9	8328.5	9680.5	8098	9180.4	8217.1	6672.5	7108.7
7963_at	23.8	10.8	37.4	25.1	16.9	34.9	29.5	33.1	33	20.8	20.2
7964_at	154.7	111.1	101.7	162.6	141.8	99.1	154.7	153.5	240.5	186.8	230.4
7965_at	153.6	124.3	124.4	154.8	147.4	173	141.2	199	151.4	194.1	147.7
7966_at	66.2	59.5	49.9	61.2	48.5	45.3	33.9	49.4	47.4	63.9	49.9
7967_at	48.7	52.4	57.5	55.4	75.1	71	100.1	108.9	83.1	73.4	52.7
7968_at	5	18.4	26	31.1	10.6	22.7	12.8	18.5	23.1	33.8	28
7969_at	24.8	16.6	19	29.1	17.4	21.6	17.2	21.4	25.2	33	36.7
7970_at	4718.8	4280.1	4236.4	4793.4	4689.5	5215.2	4007.2	4539.2	4545.9	4089.8	4495.4
7971_at	67.4	56.3	77.4	83.3	66.3	91.6	89.8	78.3	78.9	105.7	80.9
7972_at	512.6	625.6	647.7	479.8	594.1	572.9	506.2	554.2	535.2	588.2	507.7
7973_at	4504.1	3651.2	4386.2	4153.2	4006.3	5076.7	4337.1	4508.7	4053.8	4031.5	4027.5
7974_at	43.3	51.3	12	42.5	26.4	25.6	34.7	22.6	66.6	41.3	63.9
7975_at	277.5	253.3	278.3	289.3	347.3	243.5	196.5	172.2	234.2	348.2	388.3
7976_at	64.8	68.8	58	67.4	98.4	59.3	60.9	83.5	81.5	78.8	68.9
7977_at	720.2	660.5	537.5	705	798.5	480.1	419	727.6	570.9	767.1	614.1
7978_at	4982.9	4813.8	4400.2	3973.3	4513.3	4520.3	4784.2	4365.8	3964.8	3466.9	3127.5
7979_at	575.3	580.6	473.5	575.9	641.4	434.2	551.1	610.4	495.4	790.4	716.1
7980_at	273.4	248	187.8	237.6	234.3	180.4	207.7	186.4	316.3	290.9	284.5
7981_at	20.4	47.9	38.3	32.2	35.1	24.8	15.7	26.7	23.7	49.4	70.4
7982_at	103.9	92	82.2	109.6	54.9	84.3	53.6	71.3	81.8	120.7	141.5
