ID_REF	GSM140786	GSM140800	GSM140801	GSM140802	GSM140803	GSM140804
8081_at	87.1	10.9	83.5	135.6	17.7	73
8082_at	71.9	8.8	29.5	77.9	21.4	44.5
8083_at	13.5	1.1	1.7	32	2.3	2.6
8084_at	10.2	5.9	9	10.4	8.5	8.1
8085_at	1094.2	949	976.9	1612.5	898.5	1016.1
8086_at	42.8	55.5	20.8	71.5	54.6	32.5
8087_at	42.9	24.3	3.1	60	18.7	41.2
8088_i_at	1.6	1.2	0.8	1.1	1.3	1.3
8089_at	1118.4	1474.5	1633.9	2230.7	1818.3	1525.1
8090_at	101.7	75.8	79.7	91	90.9	108
8091_at	230.9	164.7	243.3	401.3	174.9	224.2
8092_i_at	1064.9	579.5	1295.6	1276	433.6	1609.3
8093_r_at	617.2	326.2	670.6	839.2	171.4	861.8
8094_f_at	1206.7	620.8	1103.2	1278.8	361	1027.9
8095_at	26.4	19.5	31.9	16.3	8.1	28.4
8096_at	1166.6	1587.3	990.7	1449.2	1235.8	1060.8
8097_i_at	12.6	0.3	11.7	14.9	19.6	24.7
8098_at	29.8	32.5	32.4	44.3	23.5	31.9
8099_at	81.1	43	38.7	69.5	131.6	107.7
8100_at	39.4	17.7	21.4	60.6	34	58.8
8101_at	21.2	32.3	14.3	26.9	32	36.1
8102_at	903	672	697	838.3	739	669.6
8103_at	1.3	0.4	4.4	0.7	1.2	1.4
8104_at	2186.8	1150.1	1587.6	1286.7	753.8	1224.2
8105_at	2.9	1.8	4.8	2.8	3.4	24.6
8106_at	337.5	133.5	261.3	188.3	176.2	254.9
8107_at	168.5	118.1	61.3	94.7	142.3	79.1
8108_at	3.5	4.6	5.1	11.6	3.8	4.7
8109_at	4.8	5.8	3.4	25.5	2	2.6
8110_at	17.9	0.7	7.3	30.7	2.6	6.2
8111_g_at	44.1	25.9	24.2	42.2	22	13.8
8112_at	5003.4	2360.9	3261	7460.2	2921	4104.5
8113_at	29.6	20.3	21.3	21.7	59.4	53.8
8114_i_at	3.2	1.9	1.9	13.6	25.2	1.4
8115_f_at	204.3	133.8	126.3	139.4	156.6	84.7
8116_f_at	476	934.9	608.7	340.2	425.7	297.8
8117_i_at	23.9	26.6	33.4	27.7	16.5	20.6
8118_i_at	22	92.8	84.5	13.9	213.5	66.4
8119_f_at	52.4	104.8	128.2	54.8	121.4	123.9
8120_at	989.9	726.6	553	758.8	741	407.2
8121_at	373.7	189.8	549.8	367.7	148	462.6
8122_at	12.7	5.7	8.3	11.7	11.1	2.8
8123_at	113	201.4	73.9	136.4	147.9	81.1
8124_at	8112.1	4820.5	7069.3	7183.7	5344.6	7119.8
8125_at	74.9	114	123.1	138	111	72
8126_at	322.3	439.1	345.3	620.3	397.2	296.6
8127_at	102.9	56.8	37.8	120.5	82.6	108.5
8128_at	118.4	82.6	76	202.9	90.4	129.5
8129_at	465.4	659	502.8	672.1	815.2	473.3
8130_at	96.1	106	134.7	193.9	202.9	111.1
8131_at	276.6	172.7	320.1	249.4	315.5	512.4
