ID_REF	GSM1133080	GSM1133081	GSM1133082	GSM1133083	GSM1133084	GSM1133085	GSM1133086	GSM1133087	GSM1133088	GSM1133089	GSM1133090	GSM1133091	GSM1133092	GSM1133093
1437860_at	3.1	10	8.8	11.9	5.2	2.9	1.5	2	3.7	0.9	2	2.8	10.7	1.1
1437861_s_at	87.1	74.1	58.2	98.2	165.9	83.4	100.2	136.7	109	155.7	236	136.8	244.9	128.5
1437862_at	549.2	706.1	3087.4	2184.7	690.5	2005.1	963.9	1105.7	598.3	1174.8	2043.6	1544.9	3734.6	657.3
1437863_at	26.2	8.2	16.5	12.2	4.6	34.9	13.3	21	17.8	2	22.4	4.7	2.6	10.1
1437864_at	194.1	211.3	431.9	251.1	223	223.4	281.3	353.5	199.1	225.1	265.1	137.1	293.1	192.4
1437865_at	987.1	1071.3	1091.9	1010.7	1190.9	1217.3	935.7	874.6	994.2	1010	1067.5	1153.3	733.6	1362.3
1437866_at	42.7	19.9	54.7	37.5	22.8	24.1	47.4	22.3	17.4	18.7	55.1	30.2	13.9	8.7
1437867_at	91.3	114.1	79.3	58.3	112.3	52.8	71.2	63	53.4	56.7	44.5	63.4	34.4	28.1
1437868_at	1113.8	1062.8	685	875.3	1231.3	581.1	1044.3	1144.9	1167.3	996.9	864.3	1210.6	971.8	1171
1437869_at	155.3	159.6	109.7	128	117.3	142.6	111.4	246.8	150	98.2	107.4	168.5	118.4	150.9
1437870_at	36.3	43.9	0.8	14.4	2.3	18.7	21.1	16.3	11.8	12.5	17.6	26.7	12.5	7.6
1437871_at	30.7	28.6	3.2	8.2	7.6	3	4.4	4	10.1	8.9	4.3	5.9	5.8	5.5
1437872_at	3.1	97.2	46.8	90.1	101.6	87.3	83.8	91.5	106.8	73.7	122.5	85.9	72.8	95.8
1437873_at	430	507.5	413.9	516.7	324.6	369.7	438.7	349.6	370.6	288	263	373.9	232.9	359.4
1437874_s_at	2485.1	3423.6	2367.6	3040.4	2803.5	1829.7	2441.5	2748.8	2522.3	2748.9	2274.1	2678.7	2580.6	3196.4
1437875_at	1393.9	1339	1501.3	1703.8	1672.8	1744.4	1233.2	1594.1	1340.1	1337.8	1383.4	1389.7	1355.2	1479.9
1437876_at	74.1	26.2	95.4	41.3	83.1	79.1	67.8	28.8	33.4	77	85.8	42.9	63	58.2
1437877_at	223.7	157.9	147.4	103.3	128.8	140.7	170.4	161.6	83.8	210.2	207.8	270.2	146	172.7
1437878_s_at	2113.2	2438.3	2149.5	1624.2	2382.9	1744.8	2348.9	2677.7	1779.9	3146.4	2435	3615.1	2139.5	2453.9
1437879_at	600	532.1	401.3	339.2	411.7	597.9	444.6	426.4	498.6	562.2	495.8	517	343.5	471.7
1437880_at	24.5	15.9	28.7	32.1	53.4	2.3	2	13.9	32.2	18.7	18	12.5	18	2.9
1437881_at	45	44.6	34.9	35.8	54.8	57.9	28.6	42.5	48.3	26.5	43.8	48.3	4.2	9.1
1437882_s_at	111.4	284.6	105.6	59.6	149.7	128	122.5	111.2	189.2	139.1	166.6	368.2	58.9	180.3
1437883_s_at	1875.5	2313.5	1055.8	1395.1	1066.1	1049.7	1515.7	1433.6	1827.4	926.6	1150.9	1387.8	1023.5	784.6
1437884_at	148.5	109.8	215.1	195.2	93.4	161	122	112.6	103.8	116.8	181.4	65.6	193.2	60.8
1437885_at	52.1	93.3	79.1	51.2	99.7	59.2	54.5	76.7	109.3	83.7	82	70.9	80.7	81.7
1437886_at	3706.7	3943	4220.6	4540.1	3580.4	2731.1	3754.3	3362	3495.8	4110.1	3704.7	4282	4066.4	4523.5
1437887_at	12.9	58.3	25.9	13.2	51.5	16	50.3	14.6	30.7	65.4	37.5	83.3	10.3	4.5
1437888_at	110.4	82.2	357.4	205.3	82	236.6	153.2	50.8	57.6	94.9	117.6	73.4	215.4	99.5
1437889_x_at	11.4	53.8	3.9	3.9	48.2	55.4	2	7.9	24.7	3.9	3.2	13.3	4	3
1437890_at	43.8	51.1	46.3	82.6	88.7	44.6	25.9	93.6	13.4	62.9	52.7	54.6	58.8	10.1
1437891_at	1388.8	1061.4	887.4	1223.7	1173.1	1180.1	1146.3	966.8	970.8	864.9	1053.2	1153.2	1005.9	908.6
1437892_at	208.3	197.3	269.3	220.1	363.3	374	211.4	172.8	265.9	558.3	650.1	999.7	296.6	373.5
1437893_at	5.3	6.6	4.5	3.3	4.9	5.6	20.7	7.3	4.9	4.3	6.9	11.2	38.7	16.3
1437894_at	35.6	13.5	1.9	10.2	6	9.7	1.9	4.4	22.9	26.5	14.9	49.1	2.1	15.4
1437895_at	46	8.6	57.3	51	12.5	73.8	48.2	19	8.2	42.3	24	4.6	51.8	5.2
1437896_at	338.3	355.2	206.8	321.6	277.2	284.1	310.3	360.8	360.5	272.5	289.6	349	161.2	301.9
1437897_at	39.4	26.1	20	6.4	9.6	7.6	46.9	39.5	2	25.7	19.6	68.2	5.3	67.7
1437898_at	59.9	56.2	94.3	119.8	75	80.6	52.1	68	63.1	57.9	48.4	38	64.8	32.1
1437899_at	51.6	6.5	3.7	1.6	3.7	3	3.1	12.6	1.5	4.4	2.1	6.2	1.4	1.8
1437900_at	1980.2	2248.5	1355.5	1539.6	2107.1	1654.5	2201.1	1606.5	1844.5	1722.8	1569.3	2372.2	1377.3	2577.3
1437901_a_at	2678.5	3153.5	1781.6	2221.4	2629.3	1401.1	2519.5	2229.7	2924.9	2458.5	2204.5	3065	1748.8	2575.6
1437902_s_at	30.2	11.5	22.5	12.3	7.4	48	41.3	41.6	14.8	13.9	4.7	70.4	80.8	57.6
1437903_at	12.1	11	1.4	2.8	34.7	23.8	2.7	57.8	1.3	7.8	16.8	3.3	2.1	5.1
1437904_at	903.2	958	245.7	151.1	781.1	422.1	848.2	741.7	486.5	755.3	641.9	925.7	198.5	687.5
1437905_at	17.2	2.9	5.5	1.4	24.2	0.4	9.2	5	1.4	15.8	0.4	1.6	15.5	1.6
1437906_x_at	17.9	14.9	82.3	16.1	69	130.1	22.1	101.5	4.3	6.2	47.1	19.9	26.3	17.4
1437907_a_at	4879.1	4809.7	3723.7	3871.6	4746.5	3826.3	4779.9	4623	3919.2	5322	4257.5	4077.8	3883.5	4220.3
1437908_a_at	1056.7	962.3	909.6	930.5	764.3	482.5	1137.5	743.8	856.7	1422.4	1093	805.1	1284.8	983.5
